DURATION_YEAR,ISSUE_AGE_MIN,ISSUE_AGE_MAX,BASE_LAPSE_RATE
23,36,40,0.201
24,36,40,0.202
25,36,40,0.205
26,36,40,0.213
27,36,40,0.230
28,36,40,0.261
29,36,40,0.301
30,36,40,0.344
31,36,40,0.344
32,36,40,0.344
33,36,40,0.344
34,36,40,0.344
35,36,40,0.344
36,36,40,0.344
37,36,40,0.344
38,36,40,0.344
39,36,40,0.344
40,36,40,0.344
41,36,40,0.344
42,36,40,0.344
43,36,40,0.344
44,36,40,0.344
45,36,40,0.344
1,41,45,0.108
2,41,45,0.106
3,41,45,0.098
4,41,45,0.087
5,41,45,0.080
6,41,45,0.074
7,41,45,0.067
8,41,45,0.061
9,41,45,0.057
10,41,45,0.056
11,41,45,0.057
12,41,45,0.058
13,41,45,0.057
14,41,45,0.061
15,41,45,0.066
16,41,45,0.081
17,41,45,0.116
18,41,45,0.177
19,41,45,0.259
20,41,45,0.344
21,41,45,0.344
22,41,45,0.344
23,41,45,0.344
24,41,45,0.344
25,41,45,0.344
26,41,45,0.344
27,41,45,0.344
28,41,45,0.344
29,41,45,0.344
30,41,45,0.344
31,41,45,0.344
32,41,45,0.344
33,41,45,0.344
34,41,45,0.344
35,41,45,0.344
36,41,45,0.344
37,41,45,0.344
38,41,45,0.344
39,41,45,0.344
40,41,45,0.344
41,41,45,0.344
42,41,45,0.344
43,41,45,0.344
44,41,45,0.344
45,41,45,0.344
1,46,50,0.112
2,46,50,0.117
3,46,50,0.118
4,46,50,0.113
5,46,50,0.112
6,46,50,0.111
7,46,50,0.117
8,46,50,0.130
9,46,50,0.153
10,46,50,0.187
11,46,50,0.188
12,46,50,0.188
13,46,50,0.188
14,46,50,0.189
15,46,50,0.192
16,46,50,0.200
17,46,50,0.217
18,46,50,0.248
19,46,50,0.288
20,46,50,0.331
21,46,50,0.331
22,46,50,0.331
23,46,50,0.331
24,46,50,0.331
25,46,50,0.331
26,46,50,0.331
27,46,50,0.331
28,46,50,0.331
29,46,50,0.331
30,46,50,0.331
31,46,50,0.331
32,46,50,0.331
33,46,50,0.331
34,46,50,0.331
35,46,50,0.331
36,46,50,0.331
37,46,50,0.331
38,46,50,0.331
39,46,50,0.331
40,46,50,0.331
41,46,50,0.331
42,46,50,0.331
43,46,50,0.331
44,46,50,0.331
45,46,50,0.331
1,51,55,0.116
2,51,55,0.128
3,51,55,0.138
4,51,55,0.140
5,51,55,0.143
6,51,55,0.149
7,51,55,0.166
8,51,55,0.199
9,51,55,0.249
10,51,55,0.318
11,51,55,0.318
12,51,55,0.318
13,51,55,0.318
14,51,55,0.318
15,51,55,0.318
16,51,55,0.318
17,51,55,0.318
18,51,55,0.318
19,51,55,0.318
20,51,55,0.318
21,51,55,0.318
22,51,55,0.318
23,51,55,0.318
24,51,55,0.318
25,51,55,0.318
26,51,55,0.318
27,51,55,0.318
28,51,55,0.318
29,51,55,0.318
30,51,55,0.318
31,51,55,0.318
32,51,55,0.318
33,51,55,0.318
34,51,55,0.318
35,51,55,0.318
36,51,55,0.318
37,51,55,0.318
38,51,55,0.318
39,51,55,0.318
40,51,55,0.318
41,51,55,0.318
42,51,55,0.318
43,51,55,0.318
44,51,55,0.318
45,51,55,0.318
1,56,60,0.116
2,56,60,0.122
3,56,60,0.127
4,56,60,0.128
5,56,60,0.129
6,56,60,0.132
7,56,60,0.141
8,56,60,0.157
9,56,60,0.182
10,56,60,0.217
11,56,60,0.217
12,56,60,0.217
13,56,60,0.217
14,56,60,0.217
15,56,60,0.217
16,56,60,0.217
17,56,60,0.217
18,56,60,0.217
19,56,60,0.217
20,56,60,0.217
21,56,60,0.217
22,56,60,0.217
23,56,60,0.217
24,56,60,0.217
25,56,60,0.217
26,56,60,0.217
27,56,60,0.217
28,56,60,0.217
29,56,60,0.217
30,56,60,0.217
31,56,60,0.217
32,56,60,0.217
33,56,60,0.217
34,56,60,0.217
35,56,60,0.217
36,56,60,0.217
37,56,60,0.217
38,56,60,0.217
39,56,60,0.217
40,56,60,0.217
41,56,60,0.217
42,56,60,0.217
43,56,60,0.217
44,56,60,0.217
45,56,60,0.217
1,61,65,0.116
2,61,65,0.116
3,61,65,0.116
4,61,65,0.116
5,61,65,0.116
6,61,65,0.116
7,61,65,0.116
8,61,65,0.116
9,61,65,0.116
10,61,65,0.116
11,61,65,0.116
12,61,65,0.116
13,61,65,0.116
14,61,65,0.116
15,61,65,0.116
16,61,65,0.116
17,61,65,0.116
18,61,65,0.116
19,61,65,0.116
20,61,65,0.116
21,61,65,0.116
22,61,65,0.116
23,61,65,0.116
24,61,65,0.116
25,61,65,0.116
26,61,65,0.116
27,61,65,0.116
28,61,65,0.116
29,61,65,0.116
30,61,65,0.116
31,61,65,0.116
32,61,65,0.116
33,61,65,0.116
34,61,65,0.116
35,61,65,0.116
36,61,65,0.116
37,61,65,0.116
38,61,65,0.116
39,61,65,0.116
40,61,65,0.116
41,61,65,0.116
42,61,65,0.116
43,61,65,0.116
44,61,65,0.116
45,61,65,0.116
