GENDER,TOBACCO_USAGE,IDI_OCCUPATION_CLASS,IDI_CONTRACT,IDI_BENEFIT_PERIOD,IDI_MARKET,IDI_DIAGNOSIS_GRP,COLA_PERCENT,ELIMINATION_PERIOD,WT
M,N,M,AO,TO65,INDV,LOW,0.03,90,1
M,N,M,AO,TO65,INDV,LOW,0.03,180,1
M,N,M,AO,TO65,INDV,LOW,0.03,360,1
M,N,M,AO,TO65,INDV,LOW,0.03,720,1
M,N,M,AO,TO65,INDV,LOW,0.02,60,1
M,N,M,AO,TO65,INDV,LOW,0.02,90,1
M,N,M,AO,TO65,INDV,LOW,0.02,180,1
M,N,M,AO,TO65,INDV,LOW,0.02,360,1
M,N,M,AO,TO65,INDV,LOW,0.02,720,1
M,N,M,AO,TO65,INDV,LOW,0.0,60,1
M,N,M,AO,TO65,INDV,LOW,0.0,90,1
M,N,M,AO,TO65,INDV,LOW,0.0,180,1
M,N,M,AO,TO65,INDV,LOW,0.0,360,1
M,N,M,AO,TO65,INDV,LOW,0.0,720,1
M,N,M,AO,TO65,INDV,MID,0.03,60,1
M,N,M,AO,TO65,INDV,MID,0.03,90,1
M,N,M,AO,TO65,INDV,MID,0.03,180,1
M,N,M,AO,TO65,INDV,MID,0.03,360,1
M,N,M,AO,TO65,INDV,MID,0.03,720,1
M,N,M,AO,TO65,INDV,MID,0.02,60,1
M,N,M,AO,TO65,INDV,MID,0.02,90,1
M,N,M,AO,TO65,INDV,MID,0.02,180,1
M,N,M,AO,TO65,INDV,MID,0.02,360,1
M,N,M,AO,TO65,INDV,MID,0.02,720,1
M,N,M,AO,TO65,INDV,MID,0.0,60,1
M,N,M,AO,TO65,INDV,MID,0.0,90,1
M,N,M,AO,TO65,INDV,MID,0.0,180,1
M,N,M,AO,TO65,INDV,MID,0.0,360,1
M,N,M,AO,TO65,INDV,MID,0.0,720,1
M,N,M,AO,TO65,INDV,HIGH,0.03,60,1
M,N,M,AO,TO65,INDV,HIGH,0.03,90,1
M,N,M,AO,TO65,INDV,HIGH,0.03,180,1
M,N,M,AO,TO65,INDV,HIGH,0.03,360,1
M,N,M,AO,TO65,INDV,HIGH,0.03,720,1
M,N,M,AO,TO65,INDV,HIGH,0.02,60,1
M,N,M,AO,TO65,INDV,HIGH,0.02,90,1
M,N,M,AO,TO65,INDV,HIGH,0.02,180,1
M,N,M,AO,TO65,INDV,HIGH,0.02,360,1
M,N,M,AO,TO65,INDV,HIGH,0.02,720,1
M,N,M,AO,TO65,INDV,HIGH,0.0,60,1
M,N,M,AO,TO65,INDV,HIGH,0.0,90,1
M,N,M,AO,TO65,INDV,HIGH,0.0,180,1
M,N,M,AO,TO65,INDV,HIGH,0.0,360,1
M,N,M,AO,TO65,INDV,HIGH,0.0,720,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.03,60,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.03,90,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.03,180,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.03,360,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.03,720,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.02,60,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.02,90,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.02,180,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.02,360,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.02,720,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.0,60,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.0,90,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.0,180,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.0,360,1
M,N,M,AO,TO65,INDV,VERY_HIGH,0.0,720,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.03,60,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.03,90,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.03,180,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.03,360,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.03,720,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.02,60,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.02,90,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.02,180,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.02,360,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.02,720,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.0,60,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.0,90,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.0,180,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.0,360,1
M,N,M,SO,TO65,INDV,VERY_LOW,0.0,720,1
M,N,M,SO,TO65,INDV,LOW,0.03,60,1
M,N,M,SO,TO65,INDV,LOW,0.03,90,1
M,N,M,SO,TO65,INDV,LOW,0.03,180,1
M,N,M,SO,TO65,INDV,LOW,0.03,360,1
M,N,M,SO,TO65,INDV,LOW,0.03,720,1
M,N,M,SO,TO65,INDV,LOW,0.02,60,1
M,N,M,SO,TO65,INDV,LOW,0.02,90,1
M,N,M,SO,TO65,INDV,LOW,0.02,180,1
M,N,M,SO,TO65,INDV,LOW,0.02,360,1
M,N,M,SO,TO65,INDV,LOW,0.02,720,1
M,N,M,SO,TO65,INDV,LOW,0.0,60,1
M,N,M,SO,TO65,INDV,LOW,0.0,90,1
M,N,M,SO,TO65,INDV,LOW,0.0,180,1
M,N,M,SO,TO65,INDV,LOW,0.0,360,1
M,N,M,SO,TO65,INDV,LOW,0.0,720,1
M,N,M,SO,TO65,INDV,MID,0.03,60,1
M,N,M,SO,TO65,INDV,MID,0.03,90,1
M,N,M,SO,TO65,INDV,MID,0.03,180,1
M,N,M,SO,TO65,INDV,MID,0.03,360,1
M,N,M,SO,TO65,INDV,MID,0.03,720,1
M,N,M,SO,TO65,INDV,MID,0.02,60,1
M,N,M,SO,TO65,INDV,MID,0.02,90,1
M,N,M,SO,TO65,INDV,MID,0.02,180,1
M,N,M,SO,TO65,INDV,MID,0.02,360,1
M,N,M,SO,TO65,INDV,MID,0.02,720,1
M,N,M,SO,TO65,INDV,MID,0.0,60,1
M,N,M,SO,TO65,INDV,MID,0.0,90,1
M,N,M,SO,TO65,INDV,MID,0.0,180,1
M,N,M,SO,TO65,INDV,MID,0.0,360,1
M,N,M,SO,TO65,INDV,MID,0.0,720,1
M,N,M,SO,TO65,INDV,HIGH,0.03,60,1
M,N,M,SO,TO65,INDV,HIGH,0.03,90,1
M,N,M,SO,TO65,INDV,HIGH,0.03,180,1
M,N,M,SO,TO65,INDV,HIGH,0.03,360,1
M,N,M,SO,TO65,INDV,HIGH,0.03,720,1
M,N,M,SO,TO65,INDV,HIGH,0.02,60,1
M,N,M,SO,TO65,INDV,HIGH,0.02,90,1
M,N,M,SO,TO65,INDV,HIGH,0.02,180,1
M,N,M,SO,TO65,INDV,HIGH,0.02,360,1
M,N,M,SO,TO65,INDV,HIGH,0.02,720,1
M,N,M,SO,TO65,INDV,HIGH,0.0,60,1
M,N,M,SO,TO65,INDV,HIGH,0.0,90,1
M,N,M,SO,TO65,INDV,HIGH,0.0,180,1
M,N,M,SO,TO65,INDV,HIGH,0.0,360,1
M,N,M,SO,TO65,INDV,HIGH,0.0,720,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.03,60,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.03,90,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.03,180,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.03,360,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.03,720,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.02,60,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.02,90,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.02,180,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.02,360,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.02,720,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.0,60,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.0,90,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.0,180,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.0,360,1
M,N,M,SO,TO65,INDV,VERY_HIGH,0.0,720,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.03,60,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.03,90,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.03,180,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.03,360,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.03,720,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.02,60,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.02,90,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.02,180,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.02,360,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.02,720,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.0,60,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.0,90,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.0,180,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.0,360,1
M,N,1,AS,TO65,INDV,VERY_LOW,0.0,720,1
M,N,1,AS,TO65,INDV,LOW,0.03,60,1
M,N,1,AS,TO65,INDV,LOW,0.03,90,1
M,N,1,AS,TO65,INDV,LOW,0.03,180,1
M,N,1,AS,TO65,INDV,LOW,0.03,360,1
M,N,1,AS,TO65,INDV,LOW,0.03,720,1
M,N,1,AS,TO65,INDV,LOW,0.02,60,1
M,N,1,AS,TO65,INDV,LOW,0.02,90,1
M,N,1,AS,TO65,INDV,LOW,0.02,180,1
M,N,1,AS,TO65,INDV,LOW,0.02,360,1
M,N,1,AS,TO65,INDV,LOW,0.02,720,1
M,N,1,AS,TO65,INDV,LOW,0.0,60,1
M,N,1,AS,TO65,INDV,LOW,0.0,90,1
M,N,1,AS,TO65,INDV,LOW,0.0,180,1
M,N,1,AS,TO65,INDV,LOW,0.0,360,1
M,N,1,AS,TO65,INDV,LOW,0.0,720,1
M,N,1,AS,TO65,INDV,MID,0.03,60,1
M,N,1,AS,TO65,INDV,MID,0.03,90,1
M,N,1,AS,TO65,INDV,MID,0.03,180,1
M,N,1,AS,TO65,INDV,MID,0.03,360,1
M,N,1,AS,TO65,INDV,MID,0.03,720,1
M,N,1,AS,TO65,INDV,MID,0.02,60,1
M,N,1,AS,TO65,INDV,MID,0.02,90,1
M,N,1,AS,TO65,INDV,MID,0.02,180,1
M,N,1,AS,TO65,INDV,MID,0.02,360,1
M,N,1,AS,TO65,INDV,MID,0.02,720,1
M,N,1,AS,TO65,INDV,MID,0.0,60,1
M,N,1,AS,TO65,INDV,MID,0.0,90,1
M,N,1,AS,TO65,INDV,MID,0.0,180,1
M,N,1,AS,TO65,INDV,MID,0.0,360,1
M,N,1,AS,TO65,INDV,MID,0.0,720,1
M,N,1,AS,TO65,INDV,HIGH,0.03,60,1
M,N,1,AS,TO65,INDV,HIGH,0.03,90,1
M,N,1,AS,TO65,INDV,HIGH,0.03,180,1
M,N,1,AS,TO65,INDV,HIGH,0.03,360,1
M,N,1,AS,TO65,INDV,HIGH,0.03,720,1
M,N,1,AS,TO65,INDV,HIGH,0.02,60,1
M,N,1,AS,TO65,INDV,HIGH,0.02,90,1
M,N,1,AS,TO65,INDV,HIGH,0.02,180,1
M,N,1,AS,TO65,INDV,HIGH,0.02,360,1
M,N,1,AS,TO65,INDV,HIGH,0.02,720,1
M,N,1,AS,TO65,INDV,HIGH,0.0,60,1
M,N,1,AS,TO65,INDV,HIGH,0.0,90,1
M,N,1,AS,TO65,INDV,HIGH,0.0,180,1
M,N,1,AS,TO65,INDV,HIGH,0.0,360,1
M,N,1,AS,TO65,INDV,HIGH,0.0,720,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.03,60,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.03,90,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.03,180,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.03,360,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.03,720,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.02,60,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.02,90,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.02,180,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.02,360,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.02,720,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.0,60,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.0,90,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.0,180,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.0,360,1
M,N,1,AS,TO65,INDV,VERY_HIGH,0.0,720,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.03,60,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.03,90,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.03,180,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.03,360,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.03,720,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.02,60,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.02,90,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.02,180,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.02,360,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.02,720,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.0,60,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.0,90,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.0,180,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.0,360,1
M,N,1,AO,TO65,INDV,VERY_LOW,0.0,720,1
M,N,1,AO,TO65,INDV,LOW,0.03,60,1
M,N,1,AO,TO65,INDV,LOW,0.03,90,1
M,N,1,AO,TO65,INDV,LOW,0.03,180,1
M,N,1,AO,TO65,INDV,LOW,0.03,360,1
M,N,1,AO,TO65,INDV,LOW,0.03,720,1
M,N,1,AO,TO65,INDV,LOW,0.02,60,1
M,N,1,AO,TO65,INDV,LOW,0.02,90,1
M,N,1,AO,TO65,INDV,LOW,0.02,180,1
M,N,1,AO,TO65,INDV,LOW,0.02,360,1
M,N,1,AO,TO65,INDV,LOW,0.02,720,1
M,N,1,AO,TO65,INDV,LOW,0.0,60,1
M,N,1,AO,TO65,INDV,LOW,0.0,90,1
M,N,1,AO,TO65,INDV,LOW,0.0,180,1
M,N,1,AO,TO65,INDV,LOW,0.0,360,1
M,N,1,AO,TO65,INDV,LOW,0.0,720,1
M,N,1,AO,TO65,INDV,MID,0.03,60,1
M,N,1,AO,TO65,INDV,MID,0.03,90,1
M,N,1,AO,TO65,INDV,MID,0.03,180,1
M,N,1,AO,TO65,INDV,MID,0.03,360,1
M,N,1,AO,TO65,INDV,MID,0.03,720,1
M,N,1,AO,TO65,INDV,MID,0.02,60,1
M,N,1,AO,TO65,INDV,MID,0.02,90,1
M,N,1,AO,TO65,INDV,MID,0.02,180,1
M,N,1,AO,TO65,INDV,MID,0.02,360,1
M,N,1,AO,TO65,INDV,MID,0.02,720,1
M,N,1,AO,TO65,INDV,MID,0.0,60,1
M,N,1,AO,TO65,INDV,MID,0.0,90,1
M,N,1,AO,TO65,INDV,MID,0.0,180,1
M,N,1,AO,TO65,INDV,MID,0.0,360,1
M,N,1,AO,TO65,INDV,MID,0.0,720,1
M,N,1,AO,TO65,INDV,HIGH,0.03,60,1
M,N,1,AO,TO65,INDV,HIGH,0.03,90,1
M,N,1,AO,TO65,INDV,HIGH,0.03,180,1
M,N,1,AO,TO65,INDV,HIGH,0.03,360,1
M,N,1,AO,TO65,INDV,HIGH,0.03,720,1
M,N,1,AO,TO65,INDV,HIGH,0.02,60,1
M,N,1,AO,TO65,INDV,HIGH,0.02,90,1
M,N,1,AO,TO65,INDV,HIGH,0.02,180,1
M,N,1,AO,TO65,INDV,HIGH,0.02,360,1
M,N,1,AO,TO65,INDV,HIGH,0.02,720,1
M,N,1,AO,TO65,INDV,HIGH,0.0,60,1
M,N,1,AO,TO65,INDV,HIGH,0.0,90,1
M,N,1,AO,TO65,INDV,HIGH,0.0,180,1
M,N,1,AO,TO65,INDV,HIGH,0.0,360,1
M,N,1,AO,TO65,INDV,HIGH,0.0,720,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.03,60,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.03,90,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.03,180,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.03,360,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.03,720,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.02,60,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.02,90,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.02,180,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.02,360,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.02,720,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.0,60,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.0,90,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.0,180,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.0,360,1
M,N,1,AO,TO65,INDV,VERY_HIGH,0.0,720,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.03,60,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.03,90,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.03,180,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.03,360,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.03,720,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.02,60,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.02,90,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.02,180,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.02,360,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.02,720,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.0,60,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.0,90,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.0,180,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.0,360,1
M,N,1,SO,TO65,INDV,VERY_LOW,0.0,720,1
M,N,1,SO,TO65,INDV,LOW,0.03,60,1
M,N,1,SO,TO65,INDV,LOW,0.03,90,1
M,N,1,SO,TO65,INDV,LOW,0.03,180,1
M,N,1,SO,TO65,INDV,LOW,0.03,360,1
M,N,1,SO,TO65,INDV,LOW,0.03,720,1
M,N,1,SO,TO65,INDV,LOW,0.02,60,1
M,N,1,SO,TO65,INDV,LOW,0.02,90,1
M,N,1,SO,TO65,INDV,LOW,0.02,180,1
M,N,1,SO,TO65,INDV,LOW,0.02,360,1
M,N,1,SO,TO65,INDV,LOW,0.02,720,1
M,N,1,SO,TO65,INDV,LOW,0.0,60,1
M,N,1,SO,TO65,INDV,LOW,0.0,90,1
M,N,1,SO,TO65,INDV,LOW,0.0,180,1
M,N,1,SO,TO65,INDV,LOW,0.0,360,1
M,N,1,SO,TO65,INDV,LOW,0.0,720,1
M,N,1,SO,TO65,INDV,MID,0.03,60,1
M,N,1,SO,TO65,INDV,MID,0.03,90,1
M,N,1,SO,TO65,INDV,MID,0.03,180,1
M,N,1,SO,TO65,INDV,MID,0.03,360,1
M,N,1,SO,TO65,INDV,MID,0.03,720,1
M,N,1,SO,TO65,INDV,MID,0.02,60,1
M,N,1,SO,TO65,INDV,MID,0.02,90,1
M,N,1,SO,TO65,INDV,MID,0.02,180,1
M,N,1,SO,TO65,INDV,MID,0.02,360,1
M,N,1,SO,TO65,INDV,MID,0.02,720,1
M,N,1,SO,TO65,INDV,MID,0.0,60,1
M,N,1,SO,TO65,INDV,MID,0.0,90,1
M,N,1,SO,TO65,INDV,MID,0.0,180,1
M,N,1,SO,TO65,INDV,MID,0.0,360,1
M,N,1,SO,TO65,INDV,MID,0.0,720,1
M,N,1,SO,TO65,INDV,HIGH,0.03,60,1
M,N,1,SO,TO65,INDV,HIGH,0.03,90,1
M,N,1,SO,TO65,INDV,HIGH,0.03,180,1
M,N,1,SO,TO65,INDV,HIGH,0.03,360,1
M,N,1,SO,TO65,INDV,HIGH,0.03,720,1
M,N,1,SO,TO65,INDV,HIGH,0.02,60,1
M,N,1,SO,TO65,INDV,HIGH,0.02,90,1
M,N,1,SO,TO65,INDV,HIGH,0.02,180,1
M,N,1,SO,TO65,INDV,HIGH,0.02,360,1
M,N,1,SO,TO65,INDV,HIGH,0.02,720,1
M,N,1,SO,TO65,INDV,HIGH,0.0,60,1
M,N,1,SO,TO65,INDV,HIGH,0.0,90,1
M,N,1,SO,TO65,INDV,HIGH,0.0,180,1
M,N,1,SO,TO65,INDV,HIGH,0.0,360,1
M,N,1,SO,TO65,INDV,HIGH,0.0,720,1
M,N,1,SO,TO65,INDV,VERY_HIGH,0.03,60,1
M,N,1,SO,TO65,INDV,VERY_HIGH,0.03,90,1
M,N,1,SO,TO65,INDV,VERY_HIGH,0.03,180,1
M,N,1,SO,TO65,INDV,VERY_HIGH,0.03,360,1
M,N,1,SO,TO65,INDV,VERY_HIGH,0.03,720,1
M,N,1,SO,TO65,INDV,VERY_HIGH,0.02,60,1
M,N,1,SO,TO65,INDV,VERY_HIGH,0.02,90,1
M,N,1,SO,TO65,INDV,VERY_HIGH,0.02,180,1
M,N,1,SO,TO65,INDV,VERY_HIGH,0.02,360,1
M,N,1,SO,TO65,INDV,VERY_HIGH,0.02,720,1
M,N,1,SO,TO65,INDV,VERY_HIGH,0.0,60,1
M,N,1,SO,TO65,INDV,VERY_HIGH,0.0,90,1
